source_file,source_id,title,axiom,definitions,action,boundary,test,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,claim_class,proof_label,grade,recommended_atom_action,overstatement_risks,kill_conditions,lean_target,plain_summary
_AXIOM_MAPPING.md,_AXIOM_MAPPING,_AXIOM_MAPPING,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
_AXIOM_TEMPLATE.md,_AXIOM_TEMPLATE,_AXIOM_TEMPLATE,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
_GENERATION_PLAN.md,_GENERATION_PLAN,_GENERATION_PLAN,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
_INDEX.md,_INDEX,_INDEX,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-001_Existence.md,AX-001_Existence,AX-001_Existence,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-002_Distinction.md,AX-002_Distinction,AX-002_Distinction,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-003_Information_Primacy.md,AX-003_Information_Primacy,AX-003_Information_Primacy,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-004_Intelligibility.md,AX-004_Intelligibility,AX-004_Intelligibility,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-006_Self-Grounding.md,AX-006_Self-Grounding,AX-006_Self-Grounding,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-008_Order_Requirement.md,AX-008_Order_Requirement,AX-008_Order_Requirement,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-009_Coherence_Measure.md,AX-009_Coherence_Measure,AX-009_Coherence_Measure,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-010_Parsimony.md,AX-010_Parsimony,AX-010_Parsimony,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-011_Potentiality.md,AX-011_Potentiality,AX-011_Potentiality,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-012_Actualization.md,AX-012_Actualization,AX-012_Actualization,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-013_Irreducibility.md,AX-013_Irreducibility,AX-013_Irreducibility,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-014_Causal_Power.md,AX-014_Causal_Power,AX-014_Causal_Power,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-017_Moral_Realism.md,AX-017_Moral_Realism,AX-017_Moral_Realism,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
